time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-11-29T21:07:08.688Z,-32.741,-71.7857,21.41,4.4,mwr,,122,0.307,0.96,us,us70006elp,2020-05-14T16:54:57.015Z,"36km NNW of Valparaiso, Chile",earthquake,4,3.7,0.04,61,reviewed,us,us
2019-11-29T20:53:20.248Z,-20.1016,-177.3934,169.22,4.2,mb,,133,4.906,0.82,us,us60006pfa,2020-02-19T18:57:58.040Z,"149km ENE of Ndoi Island, Fiji",earthquake,15,3.2,0.146,18,reviewed,us,us
2019-11-29T20:46:38.871Z,39.0569,22.2504,83.55,4.4,mb,,70,1.061,0.76,us,us70006elj,2020-02-19T18:58:20.040Z,"4km SSW of Omvriaki, Greece",earthquake,5.4,6.6,0.094,35,reviewed,us,us
2019-11-29T20:32:43.580Z,17.408,-65.6305,25,2.59,md,12,309,0.7659,0.39,pr,pr2019333014,2020-02-19T18:58:22.040Z,"69km SSE of Arroyo, Puerto Rico",earthquake,2.7,26.08,0.41,6,reviewed,pr,pr
2019-11-29T20:30:40.070Z,19.0998,-66.2736,25,2.83,md,6,303,0.6732,0.13,pr,pr2019333013,2019-11-29T23:47:29.826Z,"70km N of Dorado, Puerto Rico",earthquake,1.06,11.42,0.06,3,reviewed,pr,pr
2019-11-29T20:08:25.906Z,53.4366,-165.2823,35,3.4,ml,,200,0.718,0.53,us,us60006m30,2020-02-19T18:57:51.040Z,"84km SSE of Akutan, Alaska",earthquake,4.7,2,0.097,14,reviewed,us,us
2019-11-29T19:57:48.512Z,-6.8182,129.5977,146.34,4.3,mb,,83,2.045,0.92,us,us70006ela,2020-02-19T18:58:20.040Z,"227km WNW of Saumlaki, Indonesia",earthquake,7.9,7.7,0.113,24,reviewed,us,us
2019-11-29T19:52:43.046Z,-8.6778,112.3972,119.45,4.2,mb,,119,1.747,0.96,us,us60006pf6,2020-02-19T18:57:57.040Z,"39km SSW of Tulungrejo, Indonesia",earthquake,4.7,7.8,0.11,25,reviewed,us,us
2019-11-29T19:38:08.608Z,-25.0289,-179.0219,397.24,4.3,mb,,110,4.31,1.02,us,us60006pf5,2020-02-19T18:57:57.040Z,"South of the Fiji Islands",earthquake,16.4,12.7,0.148,13,reviewed,us,us
2019-11-29T19:24:03.440Z,19.3603,-67.4085,29,3.01,md,7,312,0.941,0.38,pr,pr2019333012,2020-02-19T18:58:21.040Z,"103km N of San Antonio, Puerto Rico",earthquake,2.76,27.95,0.35,7,reviewed,pr,pr
2019-11-29T19:23:24.348Z,25.2902,124.1021,124.88,4.6,mb,,38,1.285,0.86,us,us70006el2,2020-02-19T18:58:20.040Z,"104km N of Ishigaki, Japan",earthquake,6.9,6.2,0.068,70,reviewed,us,us
2019-11-29T19:03:20.569Z,31.9938,49.7484,10,4.4,mb,,64,2.173,1.1,us,us70006ekr,2020-02-19T18:58:20.040Z,"42km E of Masjed Soleyman, Iran",earthquake,7.3,1.8,0.07,65,reviewed,us,us
2019-11-29T18:56:16.735Z,54.3511,-161.3354,11.05,2.6,ml,,226,0.856,0.32,us,us60006m2x,2020-02-19T18:57:51.040Z,"122km SSW of Sand Point, Alaska",earthquake,3.9,5,0.105,12,reviewed,us,us
2019-11-29T18:37:38.549Z,51.1708,-179.2835,27.41,3.1,ml,,214,0.483,0.48,us,us60006m2w,2020-02-19T18:57:51.040Z,"15km SW of Amatignak Island, Alaska",earthquake,4.6,12.9,,,reviewed,us,ak
2019-11-29T18:16:49.200Z,19.057,-67.2063,10,3,md,16,282,0.5971,0.37,pr,pr2019333010,2020-02-19T18:58:20.040Z,"78km NNW of Isabela, Puerto Rico",earthquake,1.5,31.61,0.37,15,reviewed,pr,pr
2019-11-29T17:51:31.080Z,38.8183333,-122.8093333,3.57,2.66,md,78,22,0.005087,0.06,nc,nc73309971,2019-12-03T17:54:27.429Z,"6km NW of The Geysers, CA",earthquake,0.11,0.15,0.207,57,reviewed,nc,nc
2019-11-29T17:50:18.088Z,13.692,93.3959,49.27,4.9,mb,,43,2.121,0.76,us,us70006ek4,2020-02-19T18:58:20.040Z,"232km NNE of Bamboo Flat, India",earthquake,6,5.8,0.059,97,reviewed,us,us
2019-11-29T17:41:24.756Z,-16.6989,176.6894,10,4.8,mb,,70,1.667,0.78,us,us60006pf4,2020-02-19T18:57:57.040Z,"130km NW of Lautoka, Fiji",earthquake,9.1,1.9,0.135,19,reviewed,us,us
