time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-09-30T05:39:31.947Z,36.087,22.9204,10,4.3,mb,,188,1.352,0.64,us,us70005nre,2019-12-20T19:03:57.040Z,"67km S of Gefyra, Greece",earthquake,6.9,1.9,0.16,11,reviewed,us,us
2019-09-30T05:34:11.520Z,19.0736,-67.1305,7,3.27,md,9,306,0.6064,0.18,pr,pr2019273013,2019-09-30T11:16:39.690Z,"64km N of Isabela, Puerto Rico",earthquake,1.6,1.49,0.14,8,reviewed,pr,pr
2019-09-30T05:26:56.012Z,-5.2044,151.5573,10,4.3,mb,,149,1.174,0.68,us,us70005skx,2019-12-20T19:04:37.040Z,"122km SW of Kokopo, Papua New Guinea",earthquake,8.8,1.9,0.148,13,reviewed,us,us
2019-09-30T05:13:46.480Z,19.151,-67.3216,13,2.84,md,7,323,0.7152,0.27,pr,pr2019273009,2019-09-30T08:56:46.246Z,"76km NNW of San Antonio, Puerto Rico",earthquake,11.73,16.5,0.16,7,reviewed,pr,pr
2019-09-30T05:06:38.460Z,19.1256,-67.2336,52,2.9,md,14,288,0.6694,0.54,pr,pr2019273002,2019-12-20T19:03:57.040Z,"80km N of Isabela, Puerto Rico",earthquake,4.13,8.96,0.3,14,reviewed,pr,pr
2019-09-30T04:49:33.713Z,-35.4692,-73.0132,16.43,4.2,mwr,,187,1.284,0.7,us,us70005nqz,2019-12-20T19:03:56.040Z,"56km WSW of Constitucion, Chile",earthquake,4.5,6,0.04,61,reviewed,us,us
2019-09-30T04:41:06.640Z,19.1941,-64.5813,45,2.95,md,13,340,1.7436,0.38,pr,pr2019273001,2019-12-20T19:03:56.040Z,"89km N of Road Town, British Virgin Islands",earthquake,4.04,20.67,0.36,12,reviewed,pr,pr
2019-09-30T04:35:30.290Z,-5.0785,151.462,9.69,4.9,mb,,82,1.125,1.25,us,us70005nqx,2019-12-20T19:03:55.040Z,"119km SW of Kokopo, Papua New Guinea",earthquake,7.7,4.9,0.096,34,reviewed,us,us
2019-09-30T04:32:19.220Z,19.1743,-67.2671,37,3.05,md,9,292,0.7238,0.36,pr,pr2019273007,2019-09-30T08:34:23.341Z,"77km NNW of San Antonio, Puerto Rico",earthquake,2.36,11.84,0.35,9,reviewed,pr,pr
2019-09-30T04:28:30.590Z,19.3011,-67.3775,49,3.09,md,17,301,0.8751,0.36,pr,pr2019273000,2019-12-20T19:03:56.040Z,"79km NNW of San Antonio, Puerto Rico",earthquake,2.53,8.78,0.34,17,reviewed,pr,pr
2019-09-30T04:16:28.960Z,19.1421,-67.3755,65,2.84,md,7,323,1.0088,0.2,pr,pr2019273005,2019-09-30T08:19:27.373Z,"77km NNW of San Antonio, Puerto Rico",earthquake,2.82,6.4,0,3,reviewed,pr,pr
2019-09-30T04:09:29.340Z,18.9988,-67.0055,9,2.67,md,6,327,0.5417,0.37,pr,pr2019273024,2019-09-30T13:28:06.430Z,"55km N of Isabela, Puerto Rico",earthquake,3.07,5.18,0.12,6,reviewed,pr,pr
2019-09-30T03:48:35.134Z,1.273,66.6922,10,4.3,mb,,114,6.349,1.2,us,us70005skv,2019-12-20T19:04:37.040Z,"Carlsberg Ridge",earthquake,10.2,1.9,0.138,15,reviewed,us,us
2019-09-30T02:55:22.244Z,-5.0151,151.4821,10,4.3,mb,,101,1.063,1.33,us,us70005skt,2019-12-20T19:04:36.040Z,"113km SW of Kokopo, Papua New Guinea",earthquake,5,1.9,0.133,16,reviewed,us,us
2019-09-30T02:54:13.976Z,-57.3334,-25.9762,58.47,4.6,mb,,107,6.665,0.72,us,us70005skr,2019-12-20T19:04:36.040Z,"102km SE of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,14.9,6.6,0.107,26,reviewed,us,us
2019-09-30T02:52:52.782Z,-5.0602,151.4186,10,4.1,mb,,100,1.138,1.1,us,us70005sku,2019-12-20T19:04:36.040Z,"122km SW of Kokopo, Papua New Guinea",earthquake,6.8,1.9,0.131,16,reviewed,us,us
2019-09-30T02:52:24.236Z,-28.5937,60.635,10,4.6,mb,,134,12.72,0.89,us,us70005sks,2019-12-20T19:04:36.040Z,"Southwest Indian Ridge",earthquake,9.7,1.9,0.182,9,reviewed,us,us
2019-09-30T02:16:00.787Z,6.1976,127.5821,10,4.4,mb,,125,2.17,0.86,us,us70005skp,2019-12-20T19:04:35.040Z,"156km SE of Tarragona, Philippines",earthquake,10.6,1.9,0.135,16,reviewed,us,us
2019-09-30T02:13:31.590Z,19.1281,-67.22,7,2.74,md,9,233,0.6695,0.21,pr,pr2019273019,2019-09-30T12:50:33.850Z,"71km N of San Antonio, Puerto Rico",earthquake,1.33,1.22,0.25,9,reviewed,pr,pr
2019-09-30T02:07:20.213Z,3.7319,64.3102,10,4.5,mb,,209,30.562,0.65,us,us70005skm,2019-12-20T19:04:35.040Z,"Carlsberg Ridge",earthquake,9.8,1.9,0.108,25,reviewed,us,us
2019-09-30T02:00:14.699Z,5.7453,126.4146,99.06,4.3,mb,,187,1.555,0.81,us,us70005skn,2019-12-20T19:04:35.040Z,"72km SSE of Pondaguitan, Philippines",earthquake,13.1,10.6,0.137,15,reviewed,us,us
2019-09-30T01:37:11.100Z,19.0653,-67.1526,13,2.72,md,9,231,0.5992,0.61,pr,pr2019273017,2019-09-30T12:49:19.758Z,"63km NNW of Isabela, Puerto Rico",earthquake,2.57,4.75,0.2,9,reviewed,pr,pr
